 you have NEW start conditions
 Phases of horizontal layers:
           1           1
           2           3
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.30 j=  1 i= 17 dt(yr)= 0.51
        min.angle=38.29 j=  1 i= 17 dt(yr)= 0.51
 Remeshing due to shortening required:    200.04031195082698     
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
        min.angle=38.31 j=  1 i= 18 dt(yr)= 0.51
 Remeshing due to shortening required:    200.03739723284244     
     41864's step. Time[My]=  0.020,  elapsed sec-   352.0
        min.angle=38.31 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 19 dt(yr)= 0.51
 Remeshing due to shortening required:    200.01351282394694     
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
        min.angle=38.32 j=  1 i= 20 dt(yr)= 0.51
 Remeshing due to shortening required:    200.03855651689767     
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 21 dt(yr)= 0.51
 Remeshing due to shortening required:    200.01480355259284     
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
        min.angle=38.33 j=  1 i= 22 dt(yr)= 0.51
 Remeshing due to shortening required:    200.02812906935600     
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 23 dt(yr)= 0.51
 Remeshing due to shortening required:    200.05038386118960     
     61541's step. Time[My]=  0.030,  elapsed sec-   516.0
        min.angle=38.34 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 24 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 24 dt(yr)= 0.51
 Remeshing due to shortening required:    200.02412706745190     
        min.angle=38.34 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 25 dt(yr)= 0.51
        min.angle=38.34 j=  1 i= 25 dt(yr)= 0.51
 Remeshing due to shortening required:    200.03025081221915     
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
        min.angle=38.35 j=  1 i= 26 dt(yr)= 0.51
 Remeshing due to shortening required:    200.00676857180500     
        min.angle=38.35 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
        min.angle=38.36 j=  1 i= 27 dt(yr)= 0.51
